Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
BIOL-BS	0.0	PSYC-BA	0.636
BIOL-BS	0.0	PSYC-BA	3.222
CHEM-BS	3.2510000000000003	PSYC-BA	2.964
CHEM-BS	3.182	SCMT-BS	3.273
CS-BS	3.333	SCMT-BS	2.957
CS-BS	2.8	SOC-BA	2.658
CHEM-BS	2.19	SOC-BA	1.926
BIOL-BS	3.6	SOC-BA	3.261
BIOL-BS	4.0	SOC-BA	4.0
MATH-BS	0.0	SPAN-BA	2.0909999999999997
MATH-BS	1.9469999999999998	SPTM-BS	1.7209999999999999
BIOL-BS	0.0	SPTM-BS	3.0
MATH-BS	3.214	SST-BA	3.0
BIOL-BS	3.429	SST-BA	3.029
BIOL-BS	3.273	SW-BA	2.833
BIOL-BS	0.0	SW-BA	0.909
BIOL-BS	0.0	SW-BA	2.182
