Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
Others	3.4	Others	3.467
Others	2.0	Others	1.4
BIOL-BS	3.6	Others	3.261
Others	3.48	Others	2.886
BIOL-BS	4.0	Others	4.0
Others	0.0	Others	2.0
MATH-BS	0.0	Others	2.091
Others	2.885	Others	2.789
Others	2.468	Others	2.387
Others	2.889	Others	3.186
Others	3.707	Others	3.644
MATH-BS	1.947	Others	1.721
Others	2.167	Others	2.141
Others	3.3	Others	3.0
Others	3.0	Others	2.0
Others	0.0	Others	3.133
Others	3.0	Others	2.8
BIOL-BS	0.0	Others	3.0
Others	3.0	Others	2.95
Others	0.0	Others	2.364
Others	0.0	Others	1.69
Others	2.179	Others	2.299
Others	2.909	Others	2.891
MATH-BS	3.214	Others	3.0
Others	2.552	Others	2.622
Others	2.143	Others	2.146
BIOL-BS	3.429	Others	3.029
Others	0.0	Others	2.909
Others	0.0	Others	1.833
Others	0.875	Others	1.0
Others	1.205	Others	1.413
Others	2.488	Others	2.457
Others	2.667	Others	2.685
Others	1.931	Others	2.105
Others	3.292	Others	3.188
Others	0.0	Others	2.286
Others	2.167	Others	2.311
Others	2.417	Others	2.27
Others	3.364	Others	3.313
Others	3.264	Others	3.284
Others	3.0	Others	3.357
Others	0.0	Others	2.067
Others	0.0	Others	3.455
Others	0.0	Others	1.143
Others	0.0	Others	1.545
Others	3.2	Others	3.207
Others	0.0	Others	3.727
Others	0.0	Others	0.818
Others	0.0	Others	3.8
Others	1.826	Others	1.875
Others	3.111	Others	3.143
BIOL-BS	3.273	Others	2.833
Others	2.817	Others	2.764
Others	3.0	Others	2.286
Others	0.0	Others	2.667
Others	3.0	Others	1.333
BIOL-BS	0.0	Others	0.909
Others	0.0	Others	2.583
Others	0.0	Others	0.5
BIOL-BS	0.0	Others	2.182
